"timestamp_utc","action","ticker","price_sar","shares","entry_price","pl_sar","purification_sar","balance_after_sar"
"2026-08-31T10:30:00","SELL","7010.SR","44.4","2.214386","44.42","-0.0443","0","98.3187"
"2026-08-31T10:40:19","BUY","2222.SR","26.22","3.74976","26.22","","","98.3187"
"2026-08-31T10:42:16","SELL","2222.SR","26.22","3.74976","26.22","-0","0","98.3187"
"2026-08-31T10:50:19","BUY","2222.SR","26.22","3.74976","26.22","","","98.3187"
"2026-08-31T10:54:30","SELL","2222.SR","26.2","3.74976","26.22","-0.075","0","98.2437"
"2026-08-31T11:30:23","BUY","2222.SR","26.22","3.746899","26.22","","","98.2437"
"2026-08-31T11:44:17","SELL","2222.SR","26.2","3.746899","26.22","-0.0749","0","98.1688"
"2026-08-31T12:25:15","BUY","1180.SR","43.3","2.267178","43.3","","","98.1688"
"2026-09-01T07:15:24","SELL","1180.SR","42.98","2.267178","43.3","-0.7255","0","97.4433"
"2026-09-01T07:25:20","BUY","1120.SR","68.05","1.431937","68.05","","","97.4433"
"2026-09-01T08:20:24","SELL","1120.SR","67.65","1.431937","68.05","-0.5728","0","96.8705"
"2026-09-01T08:56:06","BUY","1010.SR","20.86","4.64384","20.86","","","96.8705"
"2026-09-01T09:00:38","SELL","1010.SR","20.83","4.64384","20.86","-0.1393","0","96.7312"
"2026-09-01T09:05:18","BUY","1010.SR","20.85","4.639386","20.85","","","96.7312"
"2026-09-01T09:34:03","SELL","1010.SR","20.82","4.639386","20.85","-0.1392","0","96.592"
"2026-09-01T09:40:18","BUY","1010.SR","20.84","4.634933","20.84","","","96.592"
"2026-09-01T09:45:15","SELL","1010.SR","20.83","4.634933","20.84","-0.0463","0","96.5457"
"2026-09-01T11:15:19","BUY","2222.SR","26.1","3.699069","26.1","","","96.5457"
"2026-09-01T11:20:16","SELL","2222.SR","26.06","3.699069","26.1","-0.148","0","96.3977"
"2026-09-01T11:25:15","BUY","2222.SR","26.08","3.696231","26.08","","","96.3977"
"2026-09-02T08:20:22","SELL","2222.SR","26.1","3.696231","26.08","0.0739","0.0074","96.4642"
"2026-09-02T09:25:15","BUY","1180.SR","42.72","2.258057","42.72","","","96.4642"
"2026-09-02T09:47:03","SELL","1180.SR","42.64","2.258057","42.72","-0.1806","0","96.2836"
